Date,Open,High,Low,Close,Volume
2016-01-28,882.5,884.25,867.25,867.75,151110
2016-01-29,868.75,883.0,867.0,882.25,137841
2016-02-01,883.0,883.25,876.0,880.75,101524
2016-02-02,880.25,889.5,878.25,886.25,142056
2016-02-03,885.5,886.0,874.25,876.75,137447
2016-02-04,878.0,884.25,872.75,874.5,160779
2016-02-05,875.75,879.0,867.25,867.5,150936
2016-02-08,867.5,868.75,861.5,862.5,114019
2016-02-09,862.75,866.5,859.5,863.25,136517
2016-02-10,863.5,866.25,861.5,862.25,112212
2016-02-11,862.25,874.25,862.0,873.5,145579
2016-02-12,873.0,875.5,868.5,872.75,91788
2016-02-16,875.5,882.75,873.25,879.75,168027
2016-02-17,879.0,885.25,876.75,882.5,171253
2016-02-18,882.25,882.75,878.0,879.75,131756
2016-02-19,879.5,881.75,877.75,878.25,123010
2016-02-22,881.75,887.5,880.25,881.0,143714
2016-02-23,880.0,880.25,868.0,869.25,110272
2016-02-24,869.25,870.5,864.5,867.5,91102
2016-02-25,867.0,871.0,858.5,859.0,83698
2016-02-26,860.0,862.5,854.5,855.0,58897
2016-02-29,854.0,857.0,852.0,853.0,12540
2016-03-01,853.0,858.25,849.75,850.75,9982
2016-03-02,850.25,857.5,849.0,854.25,7854
2016-03-03,855.0,858.0,850.5,856.25,4904
2016-03-04,860.5,871.75,860.5,870.5,6143
2016-03-07,875.0,879.75,873.0,873.5,1293
2016-03-08,872.0,877.5,870.75,877.5,787
2016-03-09,880.0,882.5,877.5,880.0,398
2016-03-10,880.0,882.5,875.5,881.75,313
2016-03-11,882.75,888.75,882.75,888.0,135
2016-03-14,889.0,890.0,888.0,888.0,98258
2016-03-15,894.75,895.5,888.5,892.0,101683
2016-03-16,891.5,894.75,886.0,894.5,94822
2016-03-17,895.0,904.5,893.5,897.75,148891
2016-03-18,897.0,904.75,896.0,897.5,80428
2016-03-21,895.0,905.0,892.25,902.0,109825
2016-03-22,901.5,914.0,900.0,910.25,181690
2016-03-23,909.5,912.5,901.5,905.25,119595
2016-03-24,905.25,911.75,902.0,910.5,118016
2016-03-28,911.0,914.75,906.25,909.0,91130
2016-03-29,908.25,917.0,907.0,916.0,127052
2016-03-30,915.25,917.0,908.25,909.0,126146
2016-03-31,908.5,914.0,896.0,910.75,216652
2016-04-01,909.25,920.0,908.25,918.25,126750
2016-04-04,918.5,922.25,912.75,913.5,104289
2016-04-05,911.5,916.5,904.0,904.75,124866
2016-04-06,904.25,909.75,901.0,908.0,119318
2016-04-07,908.0,909.75,903.5,904.5,133446
2016-04-08,905.25,917.0,903.0,916.75,157543
2016-04-11,916.25,929.5,915.5,928.25,182496
2016-04-12,927.5,938.75,924.75,936.25,220988
