trade_id,signal_hash,prediction_date,ticker,model_regime,model_version,direction,entry_price,stop_loss,take_profit,lots,risk_dollars,confidence,status,close_date,close_price,pnl
20251120-NG=F,e8dfa5e4ae904d168a1d0b8dc2170964e019fa2e7cab96a4260d7ec925efe58f,2025-11-20,NG=F,ng_f_high_vix,v3.2,BEARISH,0.0,4.8360,4.0200,0,500.00,57.48,SKIPPED (Zero Size),,,
20251120-EURUSD=X,671be00c2b9ea30600a8cb8ef83a920453384daba0154f72a76750a7379670a5,2025-11-20,EURUSD=X,eurusd_x,v3.2,BULLISH,0.0,1.1430,1.1664,0.57,500.00,50.10,CLOSED (EXPIRED),2025-11-28,1.158883,66056.32
20251120-JPYUSD=X,8b7b9c2ebf7cdf0dea67fec4f0c8e4a8ee85d640f1d810c09f303c517ce0df1d,2025-11-20,JPYUSD=X,jpyusd_x_high_vix,v3.2,BULLISH,0.0,0.0063,0.0065,70.46,500.00,64.50,CLOSED (EXPIRED),2025-11-28,0.006396,45062.97
20251121-GC=F,4c0107e0e5a33083337ab23e9efa49a3630f19f44c49fc128ba78db9b3face2b,2025-11-21,GC=F,gc_f,v3.2,BULLISH,4039.100098,3941.2786,4185.8323,0,100.00,61.63,SKIPPED (Zero Size),,,
20251121-SI=F,393fd30828646b2774328dbb7ec0b00d90cb40c8afda2bc6fba20db8485dc1d1,2025-11-21,SI=F,si_f,v3.2,BULLISH,49.145000,47.1288,52.1693,0,100.00,50.73,SKIPPED (Zero Size),,,
20251121-EURUSD=X,2c100baedc9af8078116c90968b5c9dcd54b2bf615a2bf6d5ed15a40956d328a,2025-11-21,EURUSD=X,eurusd_x,v3.2,BULLISH,1.154734,1.1464,1.1673,0.12,100.00,52.70,CLOSED (EXPIRED),2025-11-28,1.159985,63.01
20251121-JPYUSD=X,d493d60626e357d24baf0470c61d27944e4de3757c65bee51528d7cca4322cea,2025-11-21,JPYUSD=X,jpyusd_x_high_vix,v3.2,BULLISH,0.006364,0.0063,0.0065,13.88,100.00,58.32,CLOSED (EXPIRED),2025-11-28,0.006399,48.04
20251124-GC=F,cf3a2a7bb7a4cfac1b6b7883ebd7cfd80ec9224e3311b9b565edd696f0bf2fa4,2025-11-24,GC=F,gc_f,v3.2,BULLISH,4051.199951,3956.7106,4192.9339,0,100.00,59.69,SKIPPED (Zero Size),,,
20251124-SI=F,69ac1a4542f27cbf327e3329a625040c2707f510505f773026c5d95156ed4bb6,2025-11-24,SI=F,si_f,v3.2,BULLISH,49.654999,47.6373,52.6816,0,100.00,51.06,SKIPPED (Zero Size),,,
20251124-ZC=F,4b2b6391979604a1c492ddaa7729b182872eb70950f26af7bca62df73b9430b7,2025-11-24,ZC=F,zc_f,v3.2,BEARISH,437.000000,447.3929,421.4107,0,100.00,56.00,SKIPPED (Zero Size),,,
20251125-GC=F,2831ce66cb8c581e0a62460be9eda5205475036f594e74723f5889f033f37498,2025-11-25,GC=F,gc_f,v3.2,BULLISH,4139.299805,4045.0676,4280.6481,0,100.00,61.74,SKIPPED (Zero Size),,,
20251125-SI=F,d2a0937a2c320ef74bc24b2d56653df6e3d524780b68c43bcd0abf79849fd84a,2025-11-25,SI=F,si_f,v3.2,BULLISH,51.220001,49.1471,54.3293,0,100.00,50.91,SKIPPED (Zero Size),,,
20251125-NG=F,c72a3b8899f9c529e9ca0ba56bf3efbd0de2bf055067dcacf6d914eedb2ec9e8,2025-11-25,NG=F,ng_f_high_vix,v3.2,BEARISH,4.568000,4.8738,4.1093,0,100.00,71.56,SKIPPED (Zero Size),,,
20251125-EURUSD=X,a444a78b105ef2dd4fb19ebd2d67024cba29f37f77ce473a5149f307787b51af,2025-11-25,EURUSD=X,eurusd_x,v3.2,BULLISH,1.152339,1.1439,1.1649,0.12,100.00,64.35,CLOSED (EXPIRED),2025-12-03,1.164687,148.17
20251125-JPYUSD=X,67bc954d1cc17651b25ba2e41dfdf2f4fc4516e8a981ef87b08df67f96b4031f,2025-11-25,JPYUSD=X,jpyusd_x_high_vix,v3.2,BULLISH,0.006380,0.0063,0.0065,14.35,100.00,57.88,CLOSED (EXPIRED),2025-12-03,0.006428,68.84
20251125-NQ=F,c2332662425eb25265ad52ec340ffd0ae297ff56e12e91bd2065c658a0baf001,2025-11-25,NQ=F,nq_f_high_vix,v3.2,BULLISH,24911.250000,24018.1607,26250.8839,0,100.00,57.30,SKIPPED (Zero Size),,,
20251126-GC=F,3b257c459e3c5ca19de048287e07381d1dd56d51c5474cb7df26ca98a46f1229,2025-11-26,GC=F,gc_f,v3.2,BEARISH,4191.799805,4291.6998,4041.9498,0,100.00,50.23,SKIPPED (Zero Size),,,
20251126-SI=F,7a2a37e6048a7cf6fdcdc076fd199e526450d5c5f467baa378b966fc213d9e72,2025-11-26,SI=F,si_f,v3.2,BULLISH,52.285000,50.0985,55.5647,0,100.00,50.90,SKIPPED (Zero Size),,,
20251126-EURUSD=X,457089f7259b34467d2a2c0c81c6f5732fc6b7690cc75c772d250fad44b2c9a4,2025-11-26,EURUSD=X,eurusd_x,v3.2,BULLISH,1.159555,1.1504,1.1733,0.11,100.00,55.47,OPEN,,,
20251126-ES=F,cbb611026f734ccda1f1ac2bf16a4989f1e41c0ca692f7a5eb01ec59cef39da0,2025-11-26,ES=F,es_f_low_vix,v3.2,BULLISH,6802.250000,6625.5446,7067.3080,0,100.00,66.14,SKIPPED (Zero Size),,,
20251126-NQ=F,4f5cabfb97a9e257600ac1495ce8468f6d51ff559f3c8df6a82c59c91130816b,2025-11-26,NQ=F,nq_f_low_vix,v3.2,BULLISH,25193.250000,24281.6250,26560.6875,0,100.00,66.32,SKIPPED (Zero Size),,,
20251127-GC=F,2c1f46bdc8e633709499226911edcb9891158cf5ef1b43fb7604feb83343d22f,2025-11-27,GC=F,gc_f,v3.2,BEARISH,4187.899902,4283.4178,4044.6231,0,100.00,50.23,SKIPPED (Zero Size),,,
20251127-SI=F,dae1fedd8107f62ec1641af9c185b6471ae9ebb5c3bd4173dd226aeef0ca3dcf,2025-11-27,SI=F,si_f,v3.2,BULLISH,53.695000,51.3655,57.1892,0,100.00,50.90,SKIPPED (Zero Size),,,
20251127-EURUSD=X,2e8e006839bf71a892927fdccf21b5e294544bcbe472d761e87241d6e6b96805,2025-11-27,EURUSD=X,eurusd_x,v3.2,BULLISH,1.159689,1.1509,1.1728,0.11,100.00,56.82,OPEN,,,
20251127-ES=F,d01ddd02a7e739916b561ac23a12fcac21d7b72e19c1c885a81868c1a632da6d,2025-11-27,ES=F,es_f_low_vix,v3.2,BULLISH,6829.750000,6649.8839,7099.5491,0,100.00,66.14,SKIPPED (Zero Size),,,
20251127-NQ=F,161bd1f006e4be752bc4ad647929cb7a020893a7f80107d071a57210faac1131,2025-11-27,NQ=F,nq_f_low_vix,v3.2,BULLISH,25320.000000,24393.7232,26709.4152,0,100.00,66.32,SKIPPED (Zero Size),,,
20251130-GC=F,7590ebcc1a861f31d4100205b6e1b4ca8fb98519f5f88ed30d2ab079bee5eb9a,2025-11-30,GC=F,gc_f,v3.6,BULLISH,4254.8999,4152.9642,4424.7928,1.00,MANUAL,55.36,OPEN,,,
20251130-EURUSD=X,fd341c2222214f3d417fef3e13b58ee6a5703465d77ed514e567b0923dc95aa8,2025-11-30,EURUSD=X,eurusd_x,v3.6,BULLISH,1.1600,1.1511,1.1748,1.00,MANUAL,58.54,OPEN,,,
20251130-ES=F,64d42f03a565f5ac164022ddb18783ff3a61fd67ebee104314b1a9c607a24aef,2025-11-30,ES=F,es_f_low_vix,v3.6,BULLISH,6859.5000,6676.4196,7164.6339,1.00,MANUAL,72.12,OPEN,,,
20251130-NQ=F,7f7318afbe339e92a11ac6fc9d85276f42169727ebc028b62dc955e26b413f1a,2025-11-30,NQ=F,nq_f_low_vix,v3.6,BEARISH,25482.0000,26425.4732,23909.5446,1.00,MANUAL,66.21,OPEN,,,
20251201-GC=F,f06b3741c2ac806cb1695d83f4960bb753a57671b4572e8a254552dc56648960,2025-12-01,GC=F,gc_f,v3.6,BULLISH,4264.1001,4154.8894,4446.1180,1.00,MANUAL,56.87,OPEN,,,
20251201-SI=F,0511dca6d2b4ebac349f8ac78f8b533f58e6f18cce46d328b529465a779734df,2025-12-01,SI=F,si_f,v3.6,BEARISH,57.5100,60.3436,52.7873,1.00,MANUAL,66.98,OPEN,,,
20251201-ZC=F,5344b862af59a466995fbbb55b792c87fa806c0ad088999862c661b864cbaea9,2025-12-01,ZC=F,zc_f,v3.6,BEARISH,446.2500,457.4732,427.5446,1.00,MANUAL,60.55,OPEN,,,
20251201-EURUSD=X,aa7f0f6e82ecc1192c0198d7f0387610bea33ec73891814130b0aa861b053e99,2025-12-01,EURUSD=X,eurusd_x,v3.6,BULLISH,1.1597,1.1512,1.1738,1.00,MANUAL,64.54,OPEN,,,
20251201-ES=F,8cbb4f2107d0de0b143938315d98f1a770e5f49810a33785299723fad665de48,2025-12-01,ES=F,es_f_low_vix,v3.6,BULLISH,6813.7500,6630.5893,7119.0179,1.00,MANUAL,70.92,OPEN,,,
20251201-NQ=F,79b4e3112703ae8a37851e13a801216da0f704d671b9cc3977269ec4e267bf59,2025-12-01,NQ=F,nq_f_low_vix,v3.6,BEARISH,25264.2500,26212.6786,23683.5357,1.00,MANUAL,65.97,OPEN,,,
20251202-GC=F,6662f6252e4f036f119b1720be39f968dc216135b097a41a465ffceaa64a11b6,2025-12-02,GC=F,gc_f,v3.6,BULLISH,4239.2002,4136.5573,4410.2717,1.00,MANUAL,61.56,OPEN,,,
20251202-SI=F,2ae7be6ba1b74ccd062c7aae5ceb2542b4c17c1cb5f6d809378a336d08f80274,2025-12-02,SI=F,si_f,v3.6,BULLISH,57.6400,54.8209,62.3386,1.00,MANUAL,50.91,OPEN,,,
20251202-EURUSD=X,428ac7ceb31a76818c1f9472936b4bae7227464740bd9250902436f883a180b8,2025-12-02,EURUSD=X,eurusd_x,v3.6,BULLISH,1.1610,1.1525,1.1753,1.00,MANUAL,54.59,OPEN,,,
20251202-ES=F,390138007de201418da437c8d894af06711fd068e5b1d4f23d27133accaa73eb,2025-12-02,ES=F,es_f_low_vix,v3.6,BULLISH,6815.5000,6635.6875,7115.1875,1.00,MANUAL,71.10,OPEN,,,
20251202-NQ=F,49890a2ebe176f90b5c82971a26b50d6cce8150ffb07403b979f4f294cf31831,2025-12-02,NQ=F,nq_f_low_vix,v3.6,BEARISH,25342.5000,26280.1071,23779.8214,1.00,MANUAL,65.76,OPEN,,,
20251203-GC=F,33fa284f99e6103a383992ae456aca7ae5d3907e9352809d7c4c0a74a23361a1,2025-12-03,GC=F,gc_f,v3.6,BULLISH,4215.8999,4110.0856,4392.2571,1.00,MANUAL,54.12,OPEN,,,
20251203-EURUSD=X,7bc314f5b9cdef5c25073210a43c3a653c79a7e2fff64ceefb6faff8607744c8,2025-12-03,EURUSD=X,eurusd_x,v3.6,BULLISH,1.1647,1.1562,1.1788,1.00,MANUAL,55.90,OPEN,,,
20251203-NQ=F,df031b2c421e0413e7c3f25e609e62def954b14131c140a24f2eea20d7146bc9,2025-12-03,NQ=F,nq_f_low_vix,v3.6,BEARISH,25650.0000,26612.5982,24045.6696,1.00,MANUAL,65.12,OPEN,,,
